avg,analiticno,cas
5.509,3.5742,4.965206146240234
5.508,3.5742,4.924043893814087
5.549,3.5742,4.939409255981445
5.492,3.5742,4.943187952041626
5.545,3.5742,4.940345525741577
5.506,3.5742,4.9303319454193115
5.51,3.5742,4.9499921798706055
5.519,3.5742,4.931278467178345
5.496,3.5742,4.941165924072266
5.521,3.5742,4.945730209350586
5.517,3.5742,4.94814920425415
5.517,3.5742,4.938291072845459
5.506,3.5742,4.924088478088379
5.508,3.5742,4.943375110626221
5.508,3.5742,4.932902574539185
5.525,3.5742,4.929348468780518
5.484,3.5742,4.930291175842285
5.511,3.5742,4.936210632324219
5.496,3.5742,4.926202774047852
5.516,3.5742,4.931002378463745
5.516,3.5742,4.939088344573975
5.499,3.5742,4.926852226257324
5.517,3.5742,4.931503772735596
5.475,3.5742,4.921905755996704
5.528,3.5742,4.921684741973877
5.525,3.5742,4.946959733963013
5.488,3.5742,4.965494394302368
5.5,3.5742,4.937962770462036
5.498,3.5742,4.930687427520752
5.517,3.5742,4.970210790634155
5.522,3.5742,4.944353103637695
5.517,3.5742,4.923068046569824
5.487,3.5742,4.936120271682739
5.492,3.5742,4.933544635772705
5.486,3.5742,4.931401014328003
5.504,3.5742,4.926398515701294
5.511,3.5742,4.934293985366821
5.527,3.5742,4.9278564453125
5.491,3.5742,4.932545900344849
5.507,3.5742,4.931890249252319
5.52,3.5742,4.965341329574585
5.55,3.5742,4.93236231803894
5.508,3.5742,4.923413515090942
5.557,3.5742,4.929486274719238
5.542,3.5742,4.930365324020386
5.57,3.5742,4.931170463562012
5.501,3.5742,4.952814340591431
5.555,3.5742,4.919193267822266
5.505,3.5742,4.923253297805786
5.497,3.5742,4.935351371765137
5.488,3.5742,4.9279844760894775
5.491,3.5742,4.926671743392944
5.513,3.5742,4.923262596130371
5.505,3.5742,4.929156064987183
5.48,3.5742,4.929427862167358
5.501,3.5742,4.9386186599731445
5.53,3.5742,4.932248592376709
5.482,3.5742,4.927562952041626
5.528,3.5742,4.933759927749634
5.537,3.5742,4.923459053039551
5.516,3.5742,4.930644989013672
5.489,3.5742,4.937834978103638
5.48,3.5742,4.9388344287872314
5.491,3.5742,4.939229249954224
5.493,3.5742,4.93408203125
5.518,3.5742,4.964946985244751
5.544,3.5742,4.931803226470947
5.537,3.5742,4.932407379150391
5.549,3.5742,4.951735734939575
5.501,3.5742,4.94511079788208
5.516,3.5742,4.933528423309326
5.513,3.5742,4.924541234970093
5.544,3.5742,4.935788869857788
5.518,3.5742,4.924402713775635
5.528,3.5742,4.92607045173645
5.486,3.5742,4.9449381828308105
5.485,3.5742,4.948893785476685
5.538,3.5742,4.961501836776733
5.545,3.5742,4.9217939376831055
5.565,3.5742,4.918640851974487
5.515,3.5742,4.928619384765625
5.528,3.5742,4.9305596351623535
5.526,3.5742,4.949856281280518
5.488,3.5742,4.929737567901611
5.504,3.5742,4.9199607372283936
5.542,3.5742,4.931157350540161
5.48,3.5742,4.937149524688721
5.533,3.5742,4.958410024642944
5.545,3.5742,4.935687065124512
5.512,3.5742,4.943419933319092
5.513,3.5742,4.938138008117676
5.512,3.5742,4.934906721115112
5.53,3.5742,4.9409730434417725
5.492,3.5742,4.957723617553711
5.468,3.5742,4.928338050842285
5.514,3.5742,4.930662155151367
5.498,3.5742,4.965276718139648
5.514,3.5742,4.933722496032715
5.493,3.5742,4.945384740829468
5.515,3.5742,4.9238505363464355
5.505,3.5742,4.933311939239502
5.506,3.5742,4.929205894470215
5.528,3.5742,4.9245991706848145
5.49,3.5742,4.933069467544556
5.514,3.5742,4.952284336090088
5.472,3.5742,4.9384496212005615
5.528,3.5742,4.942529201507568
5.464,3.5742,4.963227272033691
5.492,3.5742,4.928547620773315
5.479,3.5742,4.946472883224487
5.478,3.5742,4.941812515258789
5.485,3.5742,4.925044059753418
5.492,3.5742,4.933527708053589
5.495,3.5742,4.935024738311768
5.526,3.5742,4.937560558319092
5.459,3.5742,4.9357078075408936
5.515,3.5742,4.928909063339233
5.506,3.5742,4.931250095367432
5.491,3.5742,4.918233394622803
5.51,3.5742,4.916452884674072
5.505,3.5742,4.923110485076904
5.51,3.5742,4.9672629833221436
5.541,3.5742,4.976623058319092
5.531,3.5742,4.92462944984436
5.533,3.5742,4.940237760543823
5.507,3.5742,4.922492027282715
5.513,3.5742,4.929636716842651
5.53,3.5742,4.919682025909424
5.488,3.5742,4.933544397354126
5.513,3.5742,4.915886640548706
5.517,3.5742,4.938263177871704
5.486,3.5742,4.934107303619385
5.488,3.5742,4.925214529037476
5.528,3.5742,4.936907529830933
5.526,3.5742,4.939211368560791
5.491,3.5742,4.917480707168579
5.46,3.5742,4.926819086074829
5.499,3.5742,4.920130252838135
5.517,3.5742,4.954399824142456
5.503,3.5742,4.932661056518555
5.537,3.5742,4.9308860301971436
5.529,3.5742,4.929216146469116
5.461,3.5742,4.931700229644775
5.555,3.5742,4.955930709838867
5.517,3.5742,4.921503782272339
5.487,3.5742,4.942607164382935
5.541,3.5742,4.937460422515869
5.52,3.5742,4.951990604400635
5.504,3.5742,4.930477857589722
5.467,3.5742,4.936628341674805
5.511,3.5742,4.926658630371094
5.56,3.5742,4.918345928192139
5.473,3.5742,4.922597646713257
5.52,3.5742,4.915599346160889
5.468,3.5742,4.938389301300049
5.483,3.5742,4.927478790283203
5.476,3.5742,4.923084259033203
5.473,3.5742,4.91430139541626
5.494,3.5742,4.915339946746826
5.515,3.5742,4.9247941970825195
5.514,3.5742,4.9476234912872314
5.525,3.5742,4.917485475540161
5.529,3.5742,4.924161195755005
5.492,3.5742,4.921393632888794
5.546,3.5742,4.910608530044556
5.498,3.5742,4.92076301574707
5.5,3.5742,4.92131495475769
5.526,3.5742,4.917494535446167
5.506,3.5742,4.927951335906982
5.507,3.5742,4.929102659225464
5.536,3.5742,4.942241191864014
5.454,3.5742,4.92303729057312
5.515,3.5742,4.9200146198272705
5.508,3.5742,4.959350347518921
5.506,3.5742,4.9319305419921875
5.484,3.5742,4.932582855224609
5.525,3.5742,4.938169717788696
5.496,3.5742,4.921805381774902
5.52,3.5742,4.93533182144165
5.497,3.5742,4.954098701477051
5.479,3.5742,4.958758354187012
5.518,3.5742,4.965585708618164
5.529,3.5742,4.970918416976929
5.536,3.5742,4.939161777496338
5.514,3.5742,4.985977411270142
5.535,3.5742,4.98349928855896
5.496,3.5742,4.946964502334595
5.515,3.5742,4.93123984336853
5.523,3.5742,4.937634229660034
5.52,3.5742,4.936095952987671
5.547,3.5742,4.9488983154296875
5.54,3.5742,4.931494474411011
5.515,3.5742,4.954765319824219
5.472,3.5742,4.95222282409668
5.457,3.5742,4.937931299209595
5.518,3.5742,4.932703733444214
5.525,3.5742,4.948387145996094
5.517,3.5742,4.9404003620147705
5.5,3.5742,4.978642225265503
5.533,3.5742,4.941704511642456
5.538,3.5742,4.942844390869141
5.533,3.5742,4.936239957809448
5.526,3.5742,4.942762136459351
5.513,3.5742,4.974078893661499
5.505,3.5742,4.938776731491089
5.489,3.5742,4.93756103515625
5.488,3.5742,4.9792115688323975
5.524,3.5742,4.943687200546265
5.546,3.5742,4.938573122024536
5.53,3.5742,4.966761589050293
5.549,3.5742,4.939791679382324
5.565,3.5742,4.948107957839966
5.489,3.5742,4.931963682174683
5.494,3.5742,4.939940929412842
5.512,3.5742,4.943175554275513
5.503,3.5742,4.933252573013306
5.533,3.5742,4.933532476425171
5.512,3.5742,4.932368040084839
5.501,3.5742,4.927942752838135
5.461,3.5742,4.926650762557983
5.539,3.5742,4.940199136734009
5.523,3.5742,4.94757080078125
5.49,3.5742,4.939504861831665
5.521,3.5742,4.931938171386719
5.539,3.5742,4.936307668685913
5.511,3.5742,4.940225601196289
5.531,3.5742,4.936300277709961
5.496,3.5742,4.938863515853882
5.515,3.5742,4.933494567871094
5.56,3.5742,4.9348814487457275
5.538,3.5742,4.948225021362305
5.49,3.5742,4.93393611907959
5.509,3.5742,4.93035626411438
5.521,3.5742,4.937604665756226
5.481,3.5742,4.956475257873535
5.508,3.5742,4.93667197227478
5.542,3.5742,4.939066410064697
5.499,3.5742,4.937824964523315
5.528,3.5742,4.944241762161255
5.504,3.5742,4.9308178424835205
5.554,3.5742,4.934733152389526
5.506,3.5742,4.937498331069946
5.549,3.5742,4.9433839321136475
5.493,3.5742,4.938935995101929
5.469,3.5742,4.942476511001587
5.515,3.5742,4.939701318740845
5.487,3.5742,4.931511163711548
5.516,3.5742,4.9244585037231445
5.518,3.5742,4.932480573654175
5.52,3.5742,4.930819511413574
5.538,3.5742,4.930540323257446
5.486,3.5742,4.9344096183776855
5.532,3.5742,4.939361333847046
5.543,3.5742,4.948247194290161
5.511,3.5742,4.948658227920532
5.501,3.5742,4.940048456192017
5.515,3.5742,4.927438974380493
5.479,3.5742,4.9151530265808105
5.514,3.5742,4.943458318710327
5.488,3.5742,4.912432909011841
5.519,3.5742,4.937460422515869
5.513,3.5742,4.912482976913452
5.472,3.5742,4.949083566665649
5.486,3.5742,4.905034065246582
5.521,3.5742,4.937794208526611
5.509,3.5742,4.9303107261657715
5.499,3.5742,4.944788932800293
5.485,3.5742,4.909766435623169
5.498,3.5742,4.952295780181885
5.506,3.5742,4.9250266551971436
5.504,3.5742,4.942223072052002
5.537,3.5742,4.929563760757446
5.521,3.5742,4.947306156158447
5.485,3.5742,4.923522472381592
5.533,3.5742,4.951676368713379
5.51,3.5742,4.9113781452178955
5.476,3.5742,4.946338653564453
5.542,3.5742,4.94891095161438
5.542,3.5742,4.943504333496094
5.523,3.5742,4.906747817993164
5.524,3.5742,4.932946443557739
5.497,3.5742,4.9135894775390625
5.516,3.5742,4.944799900054932
5.522,3.5742,4.9283177852630615
5.536,3.5742,4.9584221839904785
5.476,3.5742,4.913129806518555
5.524,3.5742,4.946155071258545
5.524,3.5742,4.931859970092773
5.533,3.5742,4.935901165008545
5.523,3.5742,4.927279949188232
5.494,3.5742,4.93094277381897
5.511,3.5742,4.921902179718018
5.509,3.5742,4.948413848876953
5.5,3.5742,4.924253940582275
5.509,3.5742,4.959015846252441
5.525,3.5742,4.913073301315308
5.549,3.5742,4.937556028366089
5.518,3.5742,4.899236679077148
5.496,3.5742,4.963470458984375
5.534,3.5742,4.940834999084473
5.499,3.5742,4.940125226974487
