avg,analiticno,cas
2.17,1.6016,10.017989873886108
2.2,1.6016,9.989094018936157
2.24,1.6016,9.939383029937744
2.23,1.6016,9.950701236724854
2.2,1.6016,9.93857717514038
2.26,1.6016,9.910632848739624
2.21,1.6016,9.915189504623413
2.2,1.6016,9.913884401321411
2.14,1.6016,9.924903631210327
2.16,1.6016,9.924638986587524
2.23,1.6016,9.940818309783936
2.18,1.6016,9.944360971450806
2.12,1.6016,9.933660507202148
2.22,1.6016,9.928134441375732
2.2,1.6016,9.926006555557251
2.29,1.6016,9.923356056213379
2.19,1.6016,9.931965351104736
2.16,1.6016,9.94068169593811
2.16,1.6016,9.971611738204956
2.15,1.6016,9.973646879196167
2.16,1.6016,9.975061416625977
2.17,1.6016,9.984574556350708
2.21,1.6016,9.91830325126648
2.23,1.6016,9.915555000305176
2.21,1.6016,9.943375587463379
2.21,1.6016,9.956967830657959
2.26,1.6016,9.910314798355103
2.25,1.6016,9.931205749511719
2.17,1.6016,9.944583177566528
2.22,1.6016,9.913023948669434
2.19,1.6016,9.915471315383911
2.21,1.6016,9.946882009506226
2.21,1.6016,9.903461933135986
2.2,1.6016,9.928608179092407
2.23,1.6016,9.942908525466919
2.23,1.6016,9.946242332458496
2.19,1.6016,9.931795120239258
2.14,1.6016,9.926386594772339
2.22,1.6016,9.93244218826294
2.25,1.6016,9.930816650390625
2.23,1.6016,9.931542873382568
2.21,1.6016,9.915549516677856
2.18,1.6016,9.911805629730225
2.21,1.6016,10.000529050827026
2.17,1.6016,9.951213121414185
2.16,1.6016,9.944021701812744
2.21,1.6016,9.938914775848389
2.15,1.6016,9.931059837341309
2.19,1.6016,9.933403730392456
2.19,1.6016,9.94574522972107
2.17,1.6016,9.929961919784546
2.16,1.6016,9.929182529449463
2.18,1.6016,9.948046684265137
2.17,1.6016,9.944170713424683
2.3,1.6016,9.918034791946411
2.17,1.6016,9.928445100784302
2.24,1.6016,9.932176113128662
2.15,1.6016,9.923888444900513
2.23,1.6016,9.920778274536133
2.18,1.6016,9.907983303070068
2.2,1.6016,9.92646050453186
2.15,1.6016,9.918689966201782
2.15,1.6016,9.944774389266968
2.22,1.6016,9.906617641448975
2.15,1.6016,9.92337965965271
2.24,1.6016,9.912026405334473
2.21,1.6016,9.909708499908447
2.25,1.6016,9.933754920959473
2.26,1.6016,9.906529426574707
2.21,1.6016,9.911298513412476
2.23,1.6016,9.906059980392456
2.15,1.6016,9.926538467407227
2.2,1.6016,9.933559656143188
2.23,1.6016,9.922692775726318
2.27,1.6016,9.926468849182129
2.21,1.6016,9.922931671142578
2.16,1.6016,9.93289589881897
2.29,1.6016,9.918526887893677
2.2,1.6016,9.921223640441895
2.22,1.6016,9.916599035263062
2.23,1.6016,9.92029094696045
2.19,1.6016,9.917670965194702
2.16,1.6016,9.914224624633789
2.24,1.6016,9.913573980331421
2.22,1.6016,9.92992901802063
2.27,1.6016,9.929650068283081
2.21,1.6016,9.92033839225769
2.21,1.6016,9.920936584472656
2.22,1.6016,9.924755573272705
2.27,1.6016,9.918187141418457
2.18,1.6016,9.905685663223267
2.16,1.6016,9.922084331512451
2.24,1.6016,9.914634466171265
2.16,1.6016,9.91210412979126
2.2,1.6016,9.91671109199524
2.32,1.6016,9.9113187789917
2.23,1.6016,9.911757946014404
2.2,1.6016,9.91637396812439
2.26,1.6016,9.916470766067505
2.23,1.6016,9.921404600143433
2.2,1.6016,9.915821552276611
2.21,1.6016,9.925058364868164
2.21,1.6016,9.926517486572266
2.25,1.6016,9.913026571273804
2.18,1.6016,9.923120021820068
2.22,1.6016,9.91545033454895
2.17,1.6016,9.916622161865234
2.22,1.6016,9.916269540786743
2.26,1.6016,9.920451164245605
2.13,1.6016,9.913127899169922
2.18,1.6016,9.912117719650269
2.14,1.6016,9.914132595062256
2.19,1.6016,9.92703366279602
2.23,1.6016,9.926219463348389
2.18,1.6016,9.91580605506897
2.17,1.6016,9.921744346618652
2.16,1.6016,9.918355464935303
2.24,1.6016,9.917930841445923
2.13,1.6016,9.924952983856201
2.22,1.6016,9.907831192016602
2.17,1.6016,9.923454523086548
2.22,1.6016,9.919125318527222
2.14,1.6016,9.91547417640686
2.18,1.6016,9.919928789138794
2.21,1.6016,9.930079936981201
2.21,1.6016,9.928802490234375
2.16,1.6016,9.919147968292236
2.17,1.6016,9.931854724884033
2.21,1.6016,9.91334867477417
2.15,1.6016,9.914477348327637
2.18,1.6016,9.912566661834717
2.21,1.6016,9.919558763504028
2.18,1.6016,9.921720027923584
2.17,1.6016,9.921228170394897
2.2,1.6016,9.903422594070435
2.17,1.6016,9.908976793289185
2.21,1.6016,9.921145915985107
2.22,1.6016,9.932918787002563
2.2,1.6016,9.92038631439209
2.13,1.6016,9.920358419418335
2.17,1.6016,9.914706945419312
2.28,1.6016,9.921080827713013
2.21,1.6016,9.912405967712402
2.21,1.6016,9.919941186904907
2.18,1.6016,9.917909860610962
2.17,1.6016,9.927471399307251
2.22,1.6016,9.92529034614563
2.17,1.6016,9.913817167282104
2.27,1.6016,9.903857231140137
2.18,1.6016,9.918839693069458
2.28,1.6016,9.919153928756714
2.23,1.6016,9.927352666854858
2.21,1.6016,9.917073965072632
2.14,1.6016,9.916990041732788
2.15,1.6016,9.90838623046875
2.16,1.6016,9.915610790252686
2.22,1.6016,9.915970087051392
2.16,1.6016,9.930546760559082
2.19,1.6016,9.923701047897339
2.18,1.6016,9.928541660308838
2.23,1.6016,9.9203462600708
2.22,1.6016,9.917088270187378
2.15,1.6016,9.91214370727539
2.17,1.6016,9.917019605636597
2.21,1.6016,9.914153337478638
2.21,1.6016,9.91736650466919
2.22,1.6016,9.922088384628296
2.2,1.6016,9.9252028465271
2.2,1.6016,9.924424886703491
2.16,1.6016,9.918756484985352
2.26,1.6016,9.917173385620117
2.21,1.6016,9.919034957885742
2.29,1.6016,9.92638349533081
2.17,1.6016,9.910805702209473
2.2,1.6016,9.901288986206055
2.33,1.6016,9.931260824203491
2.17,1.6016,9.91636848449707
2.21,1.6016,9.93947720527649
2.22,1.6016,9.914361476898193
2.17,1.6016,9.906087636947632
2.17,1.6016,9.900446653366089
2.2,1.6016,9.919968605041504
2.24,1.6016,9.911119937896729
2.19,1.6016,9.926256895065308
2.22,1.6016,9.8999502658844
2.14,1.6016,9.951350450515747
2.21,1.6016,9.948988914489746
2.19,1.6016,9.921095609664917
2.2,1.6016,9.937214136123657
2.24,1.6016,9.924912452697754
2.2,1.6016,9.919530153274536
2.17,1.6016,9.909461736679077
2.15,1.6016,9.910307884216309
2.27,1.6016,9.914451599121094
2.3,1.6016,9.921355485916138
2.22,1.6016,9.902095317840576
2.18,1.6016,9.94974398612976
2.24,1.6016,9.978397369384766
2.2,1.6016,9.93036699295044
2.2,1.6016,9.960139751434326
2.19,1.6016,9.935754776000977
2.23,1.6016,9.937800645828247
2.22,1.6016,9.931946039199829
2.23,1.6016,9.974229335784912
2.21,1.6016,9.938843250274658
2.23,1.6016,9.953056812286377
2.25,1.6016,9.942376136779785
2.2,1.6016,10.013748168945312
2.24,1.6016,9.917848587036133
2.16,1.6016,9.957643985748291
2.17,1.6016,9.904829263687134
2.17,1.6016,9.915446758270264
2.22,1.6016,9.933676958084106
2.24,1.6016,9.974011182785034
2.19,1.6016,9.924105882644653
2.25,1.6016,9.981671333312988
2.21,1.6016,9.964404821395874
2.26,1.6016,9.935649394989014
2.2,1.6016,9.924022436141968
2.23,1.6016,9.921889066696167
2.27,1.6016,9.967817783355713
2.27,1.6016,9.957367658615112
2.25,1.6016,9.922510623931885
2.14,1.6016,9.920058727264404
2.23,1.6016,9.924274444580078
2.17,1.6016,9.92206072807312
2.14,1.6016,9.958366632461548
2.23,1.6016,9.92063593864441
2.19,1.6016,9.912297010421753
2.22,1.6016,9.923860549926758
2.23,1.6016,9.924535751342773
2.27,1.6016,9.916985273361206
2.17,1.6016,9.916828870773315
2.14,1.6016,9.954542636871338
2.12,1.6016,9.922731399536133
2.22,1.6016,9.929006338119507
2.21,1.6016,9.960012197494507
2.15,1.6016,9.950151920318604
2.23,1.6016,9.93167781829834
2.22,1.6016,9.923035383224487
2.23,1.6016,9.922983646392822
