avg,analiticno,cas
4.01,2.9262,1.1980762481689453
4.01,2.9262,1.1657953262329102
4.04,2.9262,1.310126781463623
4.02,2.9262,1.2018320560455322
4.0,2.9262,1.2141153812408447
4.04,2.9262,1.1459929943084717
4.02,2.9262,1.1563775539398193
4.01,2.9262,1.181551218032837
4.05,2.9262,1.158015489578247
4.03,2.9262,1.1776583194732666
4.03,2.9262,1.144289493560791
4.02,2.9262,1.1656444072723389
4.02,2.9262,1.1674294471740723
4.02,2.9262,1.1426570415496826
4.05,2.9262,1.1602146625518799
4.05,2.9262,1.1797869205474854
4.01,2.9262,1.1943395137786865
4.04,2.9262,1.1444976329803467
4.03,2.9262,1.1355319023132324
4.02,2.9262,1.168003797531128
4.04,2.9262,1.1351840496063232
4.05,2.9262,1.1770696640014648
4.03,2.9262,1.170142412185669
4.05,2.9262,1.149075984954834
4.05,2.9262,1.1567354202270508
4.02,2.9262,1.1658682823181152
4.03,2.9262,1.1762778759002686
4.02,2.9262,1.1836788654327393
4.03,2.9262,1.199885606765747
4.02,2.9262,1.215437650680542
4.04,2.9262,1.1768808364868164
4.04,2.9262,1.1978137493133545
4.01,2.9262,1.1798343658447266
4.02,2.9262,1.224294900894165
4.04,2.9262,1.7659046649932861
4.02,2.9262,1.5831139087677002
4.04,2.9262,1.7408716678619385
4.04,2.9262,1.7785348892211914
4.03,2.9262,1.8381352424621582
4.01,2.9262,1.1763079166412354
4.06,2.9262,1.3752527236938477
4.0,2.9262,2.0791850090026855
4.02,2.9262,1.3503046035766602
4.03,2.9262,1.2614903450012207
4.03,2.9262,1.197322130203247
4.01,2.9262,1.1585230827331543
4.01,2.9262,1.1806974411010742
4.0,2.9262,1.3332386016845703
4.03,2.9262,1.159590482711792
4.01,2.9262,1.1979153156280518
4.04,2.9262,1.5889265537261963
4.0,2.9262,2.0336990356445312
4.03,2.9262,2.508850336074829
4.02,2.9262,2.153188467025757
4.01,2.9262,2.2748565673828125
4.03,2.9262,2.118534564971924
4.0,2.9262,2.047210931777954
4.03,2.9262,1.8635172843933105
4.04,2.9262,1.875575065612793
4.03,2.9262,2.140042304992676
4.03,2.9262,1.9475815296173096
4.02,2.9262,1.8408606052398682
4.01,2.9262,2.912191390991211
4.03,2.9262,2.3174233436584473
4.02,2.9262,1.61698317527771
4.02,2.9262,2.134798526763916
4.03,2.9262,2.187845230102539
4.03,2.9262,1.9032480716705322
4.02,2.9262,1.4896259307861328
4.04,2.9262,1.5609638690948486
4.03,2.9262,1.6106886863708496
4.02,2.9262,1.8795993328094482
4.01,2.9262,1.3946726322174072
4.02,2.9262,1.3253729343414307
4.02,2.9262,1.3892114162445068
4.02,2.9262,1.2306020259857178
4.03,2.9262,1.2245349884033203
4.02,2.9262,1.244316577911377
4.04,2.9262,1.2928524017333984
4.01,2.9262,1.2274696826934814
4.03,2.9262,1.2559013366699219
4.02,2.9262,1.2805390357971191
4.02,2.9262,1.2461400032043457
4.01,2.9262,1.3477375507354736
4.03,2.9262,1.245802402496338
4.04,2.9262,1.297994613647461
4.01,2.9262,1.3434333801269531
4.0,2.9262,1.2364509105682373
4.02,2.9262,1.2551350593566895
4.0,2.9262,1.3110346794128418
4.03,2.9262,1.2935800552368164
4.02,2.9262,1.2601053714752197
4.04,2.9262,1.4591333866119385
4.03,2.9262,1.4029159545898438
4.02,2.9262,1.3457403182983398
4.02,2.9262,1.3646056652069092
4.01,2.9262,1.3178036212921143
4.02,2.9262,1.3107383251190186
4.03,2.9262,1.3763301372528076
4.02,2.9262,1.5080087184906006
